CSFII 1994-96 Food Code	Food Description in 1994-96 CSFII	GI Value	Value used in DHQ database
13120710	"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate"	Null	X
13120720	"Ice cream cone, chocolate covered or dipped, flavors other than chocolate"	Null	X
13120730	"Ice cream cone, no topping, flavors other than chocolate"	Null	X
13120740	"Ice cream cone, no topping, NS as to flavor"	Null	X
13120750	"Ice cream cone with nuts, chocolate ice cream"	Null	X
13120760	"Ice cream cone, chocolate covered or dipped, chocolate ice cream"		
13120770	"Ice cream cone, no topping, chocolate ice cream"	Null	X
13120780	"Ice cream cone, chocolate covered, with nuts, chocolate ice cream"		
13120790	Ice cream sundae cone	Null	X
13120800	"Ice cream soda, flavors other than chocolate"	64.5	X
13120810	"Ice cream soda, chocolate"	59.5	X
13121000	"Ice cream sundae, NS as to topping, with whipped cream"		
13121100	"Ice cream sundae, fruit topping, with whipped cream"	Null	X
13121200	"Ice cream sundae, prepackaged type, flavors other than chocolate"	Null	X
13121300	"Ice cream sundae, chocolate or fudge topping, with whipped cream"	Null	X
13121400	"Ice cream sundae, not fruit or chocolate topping, with whipped cream"		
13121500	"Ice cream sundae, fudge topping, with cake, with whipped cream"		
13122100	"Ice cream pie, no crust"		
13122500	"Ice cream pie, with cookie crust, fudge topping, and whipped cream"	Null	X
13124100	Sorbet and ice cream	51.5	X
13125100	Ice cream with sherbet	51.5	X
13126000	"Ice cream, fried"		
13130100	"Light ice cream, NFS (formerly ice milk)"	50	X
13130300	"Light ice cream, flavors other than chocolate (formerly ice milk)"	50	X
13130310	"Light ice cream, chocolate (formerly ice milk)"	50	X
13130350	"Light ice cream, premium, flavors other than chocolate (formerly ice milk)"	50	X
13130360	"Light ice cream, premium, chocolate (formerly ice milk)"	50	X
13130370	"Light ice cream, premium, NS as to flavor (formerly ice milk)"		
13130590	"Light ice cream, soft serve, NS as to flavor (formerly ice milk)"	50	X
13130600	"Light ice cream, soft serve, flavors other than chocolate (formerly ice milk)"	50	X
13130610	"Light ice cream, soft serve, chocolate (formerly ice milk)"	50	X
13130620	"Light ice cream, soft serve cone, flavors other than chocolate (formerly ice milk)"	Null	X
13130630	"Light ice cream, soft serve cone, chocolate (formerly ice milk)"	Null	X
13130640	"Light ice cream, soft serve cone, NS as to flavor (formerly ice milk)"		
13135000	"Light ice cream, sandwich (formerly ice milk)"	Null	X
13140100	"Light ice cream, bar or stick, chocolate-coated (formerly ice milk)"	Null	X
13140110	"Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)"	Null	X
13140450	"Light ice cream, cone, NFS (formerly ice milk)"		
13140500	"Light ice cream, cone, flavors other than chocolate (formerly ice milk)"		
13140550	"Light ice cream, cone, chocolate (formerly ice milk)"	Null	X
13140600	"Light ice cream, sundae, soft serve, chocolate or fudge topping, with whipped cream (formerly ice milk)"	Null	X
13140630	"Light ice cream, sundae, soft serve, fruit topping, with whipped cream (formerly ice milk)"	Null	X
13140650	"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice milk)"		
13140660	"Light ice cream, sundae, soft serve, chocolate or fudge topping (without whipped cream) (formerly ice milk)"	Null	X
13140670	"Light ice cream, sundae, soft serve, fruit topping (without whipped cream) (formerly ice milk)"	Null	X
13140680	"Light ice cream, sundae, soft serve, not fruit or chocolate topping (without whipped cream) (formerly ice milk)"		
13140700	"Light ice cream, creamsicle or dreamsicle (formerly ice milk)"	Null	X
13140900	"Light ice cream, fudgesicle (formerly ice milk)"	50	X
